userID1,userID2,user1Follows2,user2Follows1,numberOfMentions,NumberOfReplies,NumberOfRetweets,TrustScore
14540,721,0,1,0,0,0,1
4972,10379,1,1,3,1,8,4
14082,10578,1,0,6,0,0,1
1937,2252,1,1,1,0,1,2
4610,5700,1,0,13,1,0,3
13140,2622,1,0,0,0,0,1
14082,10980,0,1,0,0,1,1
14082,1241,1,0,1,0,0,2
1937,1430,1,1,3,3,0,3
3552,1840,1,0,3,0,0,2
13140,628,1,1,0,0,0,2
13140,11740,0,1,0,0,0,1
10182,4812,1,1,0,1,2,3
14540,204,0,1,0,0,0,1
10085,8901,1,1,6,16,0,4
12392,3843,0,1,0,0,1,1
13140,2956,1,0,1,0,0,2
14255,8263,1,0,1,0,0,2
13140,3360,1,1,0,0,0,2
5427,11719,1,1,1,0,1,2
6435,11370,1,1,1,1,0,1
4972,7083,1,1,0,1,0,3
7586,12769,0,1,0,1,0,1
10487,7986,1,1,0,0,1,2
11884,9713,1,1,6,3,0,3
11061,9522,1,1,0,0,1,2
14082,14508,0,1,0,0,5,2
12324,6711,1,1,2,0,1,2
9291,3309,1,1,0,0,1,2
14540,8931,0,1,0,0,1,1
12506,4647,1,1,2,0,1,2
12990,14401,1,1,8,1,0,3
13140,9786,0,1,0,0,0,1
5503,6119,1,1,0,0,2,2
1517,118,1,0,1,0,0,2
10134,13116,0,1,0,1,0,1
12392,3624,0,1,1,0,0,1
8752,12164,1,0,0,0,0,1
3509,10451,1,0,0,0,0,1
14549,2490,1,1,4,0,0,2
4139,12851,1,0,6,0,0,2
12916,14105,0,1,0,0,0,1
13140,8996,0,1,0,0,0,1
14082,2323,0,1,0,1,1,1
14255,9715,1,0,0,1,0,2
2583,2767,1,1,0,0,13,4
12506,10179,1,1,1,0,0,2
12894,7363,1,0,0,0,1,2
1517,12958,1,0,1,3,0,2
9291,5095,1,1,1,0,0,2
14082,9113,1,1,1,3,2,3
3766,12334,0,1,0,0,2,1
5503,378,1,1,2,0,8,4
157,12851,1,0,2,0,0,3
10193,9839,1,1,0,2,0,2
13007,9229,1,0,6,0,0,2
3552,5929,1,1,8,0,0,3
6414,1277,1,1,1,0,0,2
3546,2222,1,1,1,0,12,4
13140,10228,1,1,0,0,0,2
5427,3911,1,1,0,1,2,3
2401,1364,1,0,5,0,0,2
3230,14269,1,0,0,0,0,1
4139,6191,1,1,0,0,1,2
5503,6975,1,1,0,0,1,2
13007,12714,1,0,1,0,0,2
3230,14132,1,0,0,0,0,1
13140,12646,0,1,0,0,0,1
12229,1894,1,0,3,1,0,2
13140,5990,0,1,0,0,0,1
8811,14042,1,1,3,0,0,1
13140,2727,0,1,0,0,5,2
2604,7733,1,1,5,0,0,3
5503,4771,0,1,0,7,0,2
10182,7000,1,0,0,1,0,2
13140,7408,0,1,0,0,0,1
10766,7732,1,1,0,0,1,2
10554,3663,1,1,2,0,0,2
14029,5488,1,1,0,1,0,2
13140,12174,1,0,0,0,0,1
2604,1481,1,1,31,12,2,4
11772,11663,1,0,1,0,1,2
12894,6488,1,1,1,0,2,3
1875,11674,1,1,6,4,1,3
3644,1787,1,1,0,0,1,2
6435,7862,1,0,2,0,1,3
8669,10073,1,1,0,3,0,2
10837,6719,1,1,0,1,0,2
12916,13107,0,1,0,0,0,1
10134,10912,0,1,1,1,0,1
14540,582,1,0,0,0,0,1
11772,13895,1,1,2,0,3,3
13140,1293,0,1,0,0,0,1
12144,13742,0,1,0,10,5,4
5503,13115,1,1,0,0,2,1
10182,5888,1,1,0,1,0,2
10487,57,0,1,0,0,1,1
14255,12608,1,1,6,0,0,3
12929,13038,0,1,0,0,1,1
10193,14637,1,0,1,0,1,2
14540,14359,0,1,0,0,0,1
8669,12285,0,1,1,3,0,1
13140,4279,1,1,0,0,1,2
6404,6774,1,1,0,0,0,2
14598,1430,1,0,2,0,0,2
6404,3371,1,1,12,0,0,3
14549,10560,1,1,1,0,1,2
7461,14427,1,0,4,0,0,2
10182,13369,1,1,0,0,1,2
14255,12214,1,1,1,2,1,3
10182,14824,0,1,0,0,1,1
8669,10998,1,0,45,5,0,4
2604,13626,0,1,0,2,0,1
2401,1244,1,0,4,0,3,3
14540,2979,0,1,0,3,6,3
12916,592,0,1,0,0,0,1
11252,7658,0,1,0,0,25,4
14540,5524,0,1,0,0,0,1
6794,9715,1,0,5,0,0,2
10193,3087,1,0,0,0,1,2
10193,11027,0,1,1,0,0,1
10193,14486,1,1,0,0,1,2
10193,3147,1,1,119,54,31,4
4369,12392,1,0,2,1,0,2
10885,9767,0,1,0,2,0,1
5503,8203,0,1,1,0,0,1
10193,4851,0,1,0,1,0,1
13140,13325,1,1,0,0,1,2
1875,14451,1,0,3,2,0,2
13716,8045,1,1,0,1,1,2
12916,9715,1,0,0,0,0,1
13140,12334,1,1,0,0,0,2
14540,12970,1,1,0,0,3,3
14255,14169,1,1,17,12,1,4
13140,9434,1,1,0,0,29,4
2604,506,1,1,0,4,0,2
2401,12730,1,0,0,0,1,2
10182,12893,1,0,1,2,1,3
3230,14480,0,1,0,0,0,1
13140,13136,0,1,0,0,0,1
8320,9230,1,0,2,0,0,2
14029,8178,1,1,0,0,1,2
4972,9539,1,1,22,45,10,4
3546,13325,1,0,12,0,0,3
10193,1344,1,1,4,0,1,3
14540,8751,1,1,0,0,0,2
14082,14360,1,1,5,3,1,3
9422,3515,1,0,1,0,0,2
6435,14159,1,1,2,0,0,2
14540,6743,1,0,0,0,0,1
12392,81,0,1,0,0,1,1
8669,14126,1,1,13,7,0,4
13140,541,1,1,0,0,3,3
14540,8023,0,1,0,0,1,1
12144,9927,1,1,0,1,0,2
14540,10084,0,1,0,0,0,1
10182,9019,1,1,0,1,0,2
14255,350,1,1,2,0,0,2
157,10664,1,0,1,0,0,3
11772,3149,1,0,0,0,1,3
4621,10193,1,0,0,0,1,2
10182,12082,1,0,2,0,0,2
14540,3403,1,1,0,0,1,2
11035,5078,1,0,0,0,1,2
2604,3299,0,1,0,1,0,1
10134,13328,0,1,2,0,0,1
9504,13370,1,1,0,1,0,2
12916,1703,1,1,0,0,0,2
1875,3047,1,0,1,0,0,1
6847,11768,1,0,1,0,0,2
2604,417,1,1,0,0,2,2
6404,12957,1,0,0,0,0,1
10193,14410,0,1,0,3,1,2
12271,6700,1,1,0,0,1,2
1875,5190,1,1,3,1,0,2
1676,4452,1,1,2,0,1,2
10182,219,1,1,3,0,20,4
14540,10664,1,1,13,9,3,4
12929,10788,0,1,0,0,7,3
4941,12837,1,1,2,0,17,4
12949,12476,1,1,1,0,0,2
8811,11718,1,1,0,0,2,2
11909,11813,1,1,16,11,2,4
14082,14035,1,1,0,0,2,2
14255,13836,1,1,2,1,0,2
10182,4686,1,1,0,1,3,3
8811,12623,1,1,3,0,0,2
14082,10450,1,1,0,0,1,1
14082,4948,1,1,1,0,0,2
13140,1875,1,1,0,0,0,2
14540,5260,0,1,0,0,0,1
4139,12828,1,0,2,0,0,2
10193,2489,1,1,0,5,2,3
14255,4452,1,1,7,0,4,4
2584,11672,1,0,1,0,1,2
2604,9713,1,1,2,0,1,2
10487,7408,1,1,2,2,0,2
14540,6997,0,1,0,0,0,1
12916,3534,0,1,0,0,0,1
13140,7804,0,1,0,0,0,1
3546,2701,1,1,2,0,0,2
14082,5292,1,1,15,0,8,4
11252,7358,1,1,2,0,0,2
12929,13183,0,1,0,5,1,2
14540,8012,1,1,0,0,0,2
10193,13770,1,0,4,0,0,2
12916,13414,0,1,0,0,0,1
1517,10334,1,0,1,0,0,2
11884,5700,1,0,4,0,0,1
9291,7333,1,1,30,0,33,4
5503,13332,1,1,0,0,1,2
1690,6711,1,1,3,0,0,2
1875,2896,1,1,1,0,0,2
2532,13332,1,1,1,0,0,2
10126,13091,1,1,0,0,2,2
10193,8192,0,1,2,1,0,1
12307,3495,0,1,0,2,1,1
1517,7701,1,1,0,18,2,4
14540,12858,1,1,0,0,1,2
4369,9128,1,1,7,27,0,4
14540,14042,1,1,18,1,0,4
14540,13305,1,1,0,0,0,2
13651,13332,1,1,7,0,1,3
1875,8207,0,1,1,1,0,1
10554,3540,1,0,10,0,0,3
2401,9715,1,0,2,0,0,2
14540,7355,1,0,0,0,0,1
13140,14486,0,1,0,0,0,1
9291,10026,1,1,2,0,0,2
10766,13681,0,1,0,1,0,1
5503,6803,1,1,1,0,2,3
14540,9595,0,1,58,9,1,4
10193,2642,1,1,0,1,0,2
14029,10527,1,1,3,0,1,3
10134,14480,0,1,1,0,0,1
1352,330,1,0,1,0,1,3
3552,10935,1,1,1,0,0,2
12916,2753,0,1,0,0,0,1
2604,6419,1,0,1,0,0,2
3546,1613,1,1,0,1,0,1
5503,14435,1,1,8,1,4,4
122,12815,1,1,0,1,0,2
3546,6058,0,1,0,1,0,1
8363,9230,1,0,1,0,0,2
8811,12604,1,1,0,1,1,2
5012,11312,1,1,1,16,1,4
10837,8297,1,0,3,0,1,2
2604,1480,1,1,5,10,0,4
14540,2327,1,0,13,0,1,4
6138,3503,0,1,1,1,0,1
8811,444,1,1,2,8,5,4
14540,9900,0,1,0,0,0,1
14540,11254,1,1,5,0,0,3
10193,8178,1,1,14,0,1,4
3546,8,0,1,0,1,1,1
14540,12674,1,0,0,0,0,1
8811,889,1,0,0,1,0,1
6847,7705,1,0,2,1,0,2
12229,7817,1,1,1,1,0,2
3644,4250,1,1,3,0,0,2
13140,11772,0,1,0,0,0,1
14105,7130,1,0,0,0,3,2
13140,2654,1,1,0,0,2,2
14029,12883,1,1,0,0,7,4
13140,11769,1,0,0,0,0,1
11769,12894,1,1,1,0,0,2
12929,1704,0,1,0,0,2,1
14540,12820,0,1,0,0,0,1
4139,3769,0,1,0,0,4,2
8648,13314,1,1,24,11,2,4
7791,12361,1,1,0,1,0,2
12916,12969,0,1,0,0,0,1
157,9398,1,0,1,2,0,2
3552,4425,1,1,1,1,0,2
12917,6651,1,0,0,0,1,2
8811,5831,1,1,15,0,2,4
11149,6834,1,1,3,0,0,2
6794,13414,1,0,5,0,0,2
12917,11441,1,1,1,0,6,4
10085,12269,1,1,2,2,1,3
6794,296,0,1,0,1,0,1
10766,747,0,1,2,0,0,1
6794,13596,1,1,5,2,1,3
4621,1820,1,1,1,0,0,2
14255,9229,1,0,2,0,0,2
14082,10835,0,1,0,0,1,1
13140,7908,1,1,0,1,5,3
14540,12865,1,0,0,0,0,1
10487,3340,1,1,0,0,4,3
8642,3382,0,1,0,0,1,1
2335,6488,1,1,1,0,0,2
5503,10752,0,1,0,0,1,1
13140,118,1,0,0,0,0,1
4369,1343,0,1,10,0,0,2
4610,2998,1,0,8,0,0,3
6794,4411,1,1,2,2,0,2
14540,7362,0,1,0,1,0,1
3230,758,1,1,0,0,0,2
11769,206,0,1,0,0,1,1
14540,1578,0,1,0,0,0,1
11772,11779,1,1,5,0,0,3
1517,12674,1,0,8,0,1,3
3552,665,0,1,2,1,0,1
6414,2100,1,1,1,0,0,2
14540,4696,1,0,0,0,0,1
13140,12331,1,1,0,0,0,2
2604,8576,0,1,0,0,1,1
4139,2642,0,1,0,2,0,1
11035,8855,1,1,5,0,0,3
14105,8547,1,1,0,0,1,2
12990,10937,1,1,4,0,0,2
13140,11573,1,1,0,0,0,2
246,6711,1,1,22,0,0,4
11772,13325,1,1,2,0,0,2
11252,7638,0,1,0,1,0,1
14255,13046,1,1,2,0,0,2
14540,13671,0,1,0,0,0,1
5543,9949,1,1,5,0,22,4
14255,8741,1,1,0,7,2,3
13140,5764,0,1,0,0,0,1
10182,12770,1,1,2,7,0,3
14082,8817,1,1,1,0,0,2
4621,11674,1,0,1,0,0,2
9688,78,1,1,0,0,1,2
12894,11768,1,1,2,0,6,4
12916,12864,1,1,1,0,0,2
5503,7203,0,1,0,0,1,1
11005,14685,1,1,0,2,0,2
4941,6245,1,0,0,1,0,2
13140,706,0,1,0,0,0,1
9591,14427,1,0,1,0,0,2
12916,6697,0,1,1,0,0,1
157,5292,1,0,3,0,0,2
6525,6192,1,0,7,0,0,3
6435,4382,1,1,0,0,1,2
13140,4871,1,1,0,0,0,2
6525,5700,1,0,6,1,0,3
12324,1081,1,1,0,0,1,2
12949,6762,1,1,5,0,1,3
10193,5695,1,1,4,0,4,3
10487,14540,1,1,2,0,2,3
2604,5301,0,1,0,0,3,1
2604,7161,1,1,0,1,4,3
10777,1731,1,0,1,0,0,2
10134,1097,1,1,3,1,1,3
10134,12337,0,1,3,0,2,2
14029,270,1,1,0,0,2,2
10182,13246,1,1,6,14,0,4
14255,1433,1,1,0,1,0,2
2532,12671,1,1,3,2,5,4
13140,2651,0,1,0,0,5,2
14540,305,1,1,0,0,0,2
13140,11396,0,1,0,0,0,1
4139,7908,1,1,0,0,1,2
3552,13328,0,1,2,1,2,1
14540,11370,1,1,16,4,4,4
4479,2124,1,1,0,4,0,1
13007,5918,1,1,0,1,0,2
13140,12885,1,1,0,0,0,2
1875,5832,1,1,15,0,0,4
14540,13811,0,1,0,0,0,1
10182,10956,0,1,20,23,7,4
11909,12639,1,1,0,1,2,3
10193,452,1,0,5,3,1,4
2532,13548,1,1,24,0,3,4
13623,12949,1,1,0,2,0,2
11252,12919,1,1,0,0,3,3
2584,5741,1,1,1,0,0,2
14105,13636,1,1,0,0,2,2
7899,12947,1,1,10,1,1,4
14540,10543,0,1,0,0,0,1
1875,12674,1,0,2,0,0,2
13140,5797,0,1,0,0,0,1
14540,12726,1,1,3,2,0,4
11772,1607,1,0,1,0,0,2
14082,12337,1,1,4,5,11,4
14105,5293,1,1,4,0,0,2
10182,13498,1,1,0,1,0,2
13140,11219,0,1,0,0,0,1
11005,2896,1,1,3,1,0,2
5503,5553,1,1,1,0,1,2
13140,3911,1,0,0,0,0,1
12894,10517,0,1,0,1,0,1
10487,14124,1,1,2,0,0,2
10134,6700,1,1,1,0,2,3
14540,13126,0,1,0,0,0,1
4139,9230,1,0,1,0,0,2
12916,4561,0,1,0,0,0,1
10182,3548,1,1,0,2,0,2
4621,5031,1,1,0,0,1,2
2266,6792,1,1,13,9,0,4
10182,1030,1,1,0,1,7,4
12894,11674,0,1,0,2,1,1
14082,5931,1,1,2,5,2,3
13871,12936,1,0,1,0,0,2
12392,253,0,1,0,0,1,1
11772,12820,1,1,0,0,4,3
10193,10716,0,1,0,0,7,3
13140,1623,1,0,0,0,1,2
1676,8045,1,0,1,0,0,3
3509,2718,1,0,0,0,0,1
2604,14009,1,1,0,0,1,2
6794,7638,1,1,2,0,1,2
7044,13820,1,1,1,0,1,2
4139,9570,1,1,1,0,8,4
7002,5484,1,1,6,10,0,4
14255,5078,1,1,4,0,0,2
8642,13661,1,1,1,1,0,2
10182,1300,1,1,0,7,5,4
2604,5741,1,1,0,0,1,3
2661,1433,0,1,0,0,1,1
11772,14540,1,1,0,0,3,3
12307,4756,1,1,34,8,2,4
14082,7018,0,1,0,1,0,1
12916,5031,0,1,0,0,0,1
3230,5553,0,1,0,0,0,1
12916,5603,0,1,0,0,0,1
10182,12861,1,1,17,0,24,4
14540,6700,1,1,1,1,0,2
6794,9230,1,0,3,0,0,2
5503,4189,0,1,0,2,0,1
13651,4452,1,1,2,0,1,2
14082,180,1,0,1,0,0,2
12894,1433,0,1,0,1,1,1
12392,2697,0,1,0,0,1,1
8669,1433,1,1,0,1,0,2
14540,2642,1,1,6,4,0,3
8642,11802,1,1,1,0,1,2
4139,1433,0,1,0,0,1,1
14029,14028,0,1,0,0,1,1
2335,3261,1,0,1,0,0,1
1937,8720,1,1,0,2,2,3
3743,2998,1,0,2,0,0,2
3230,6194,1,1,0,0,0,2
6794,8018,1,1,0,1,0,2
1517,14042,1,1,1,0,0,2
14029,3277,1,1,0,0,5,3
14082,12215,0,1,0,0,1,1
14255,11198,1,1,4,2,1,3
3230,9473,1,0,0,0,0,1
5518,5055,0,1,0,0,1,1
4621,13414,1,1,1,0,0,2
7461,9229,1,0,1,0,0,1
12916,1210,0,1,0,0,0,1
14082,805,1,1,1,2,0,3
3644,10982,1,1,0,0,1,2
14082,10898,0,1,2,0,2,2
14082,12339,0,1,0,0,1,1
2604,6048,0,1,0,2,0,1
9901,12936,1,0,1,0,0,2
4139,8675,1,0,4,0,0,2
2604,12276,1,1,21,1,7,4
6404,14043,1,0,0,0,0,1
1937,13332,1,1,1,0,1,2
6138,709,1,1,0,11,0,3
13140,8926,0,1,0,0,0,1
5503,9125,0,1,0,0,1,1
14540,12919,1,1,0,0,0,2
14540,9979,1,1,0,0,0,2
1937,10935,1,1,5,0,1,3
3552,13043,1,1,0,1,0,2
14116,7705,1,0,17,0,0,4
5503,2232,0,1,0,0,1,1
12506,3911,1,1,0,0,1,2
5503,13414,1,0,3,0,0,2
10777,12936,1,0,2,0,0,2
5503,8898,1,0,1,0,0,2
2335,5571,1,1,0,0,1,2
5503,12936,1,0,1,0,0,2
14105,7842,1,1,0,1,0,2
14255,1053,1,1,1,1,0,2
6435,2327,1,0,1,0,0,2
12917,890,0,1,0,0,1,1
3781,9615,0,1,0,0,18,4
12506,10746,1,1,1,0,5,3
14540,12955,1,1,0,0,0,2
12916,12159,0,1,0,0,0,1
14598,6993,1,0,0,0,0,1
1937,2327,1,1,0,1,0,2
2604,7837,0,1,0,1,2,2
13140,3406,0,1,0,0,0,1
12894,2007,1,1,0,0,11,4
12144,3517,1,1,1,1,1,2
8669,1270,1,1,3,0,1,3
10182,9327,1,0,0,0,1,2
13140,13700,1,0,0,0,0,1
14540,11059,0,1,0,0,0,1
13140,3369,0,1,0,0,0,1
14255,3517,1,0,0,0,1,2
13140,6245,1,0,0,0,0,1
12894,5273,0,1,0,0,3,2
13140,8547,1,0,0,0,0,1
13140,5110,0,1,0,0,0,1
12929,11364,0,1,0,1,1,1
13140,2975,1,1,0,0,0,2
10193,835,1,1,3,1,1,3
3230,8346,1,1,0,0,0,2
7002,12779,0,1,10,0,1,3
14082,1875,0,1,0,1,0,1
4671,14289,1,1,6,0,4,4
4139,4033,1,1,0,0,4,3
14255,3503,1,1,2,0,0,2
1937,5700,1,0,9,0,1,3
10134,3503,0,1,0,2,0,1
3552,9228,1,1,1,0,0,2
12324,12671,1,1,0,0,3,3
2604,10193,1,1,3,12,1,4
14082,13870,0,1,1,2,2,2
10885,1081,1,1,0,0,1,2
14540,3428,0,1,0,0,1,1
2532,14845,1,1,1,0,0,2
1676,12660,1,0,1,0,0,2
10193,2271,0,1,0,0,1,1
10134,5602,1,0,1,0,0,2
4369,1639,0,1,0,1,1,1
12894,1623,1,1,1,0,29,4
8669,1894,1,0,3,1,0,2
3230,4182,1,1,0,0,0,2
8642,8796,1,1,0,1,0,2
6847,11674,1,1,7,4,0,4
2604,7731,1,0,3,0,0,2
3230,6903,0,1,0,0,0,1
6794,6568,1,1,1,0,0,2
7461,14042,1,0,1,0,0,2
2401,2622,1,0,3,1,0,1
1875,3499,1,1,80,18,2,4
6435,12955,0,1,0,2,0,1
12229,10998,1,0,3,2,0,2
7002,2807,1,1,0,2,3,3
13140,4621,1,0,0,0,0,1
8811,13113,1,1,0,0,1,2
12392,6470,0,1,0,0,2,1
6794,14316,1,0,13,0,18,4
1352,8336,1,1,0,2,0,2
12949,11409,1,1,0,0,0,2
14082,178,1,0,1,0,0,2
14082,8933,1,1,7,6,7,4
13140,8675,1,0,0,0,0,1
